customer_id,order_date,order_id,order_status,required_date,shipped_date,staff_name,store
259,2016-01-01,1,4,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes
1212,2016-01-01,2,4,2016-01-04,2016-01-03,Marcelene,Baldwin Bikes
523,2016-01-02,3,4,2016-01-05,2016-01-03,Venita,Baldwin Bikes
175,2016-01-03,4,4,2016-01-04,2016-01-05,Genna,Santa Cruz Bikes
1324,2016-01-03,5,4,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes
94,2016-01-04,6,4,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes
324,2016-01-04,7,4,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes
1204,2016-01-04,8,4,2016-01-05,2016-01-05,Venita,Baldwin Bikes
60,2016-01-05,9,4,2016-01-08,2016-01-08,Mireya,Santa Cruz Bikes
442,2016-01-05,10,4,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes
1326,2016-01-05,11,4,2016-01-08,2016-01-07,Venita,Baldwin Bikes
91,2016-01-06,12,4,2016-01-08,2016-01-09,Mireya,Santa Cruz Bikes
873,2016-01-08,13,4,2016-01-11,2016-01-11,Marcelene,Baldwin Bikes
258,2016-01-09,14,4,2016-01-11,2016-01-12,Genna,Santa Cruz Bikes
450,2016-01-09,15,4,2016-01-10,2016-01-12,Venita,Baldwin Bikes
552,2016-01-12,16,4,2016-01-15,2016-01-15,Genna,Santa Cruz Bikes
1175,2016-01-12,17,4,2016-01-14,2016-01-14,Genna,Santa Cruz Bikes
541,2016-01-14,18,4,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes
696,2016-01-14,19,4,2016-01-17,2016-01-16,Mireya,Santa Cruz Bikes
923,2016-01-14,20,4,2016-01-16,2016-01-17,Mireya,Santa Cruz Bikes
1250,2016-01-15,21,4,2016-01-16,2016-01-18,Marcelene,Baldwin Bikes
1035,2016-01-16,22,4,2016-01-18,2016-01-17,Mireya,Santa Cruz Bikes
1149,2016-01-16,23,4,2016-01-19,2016-01-19,Mireya,Santa Cruz Bikes
636,2016-01-18,24,4,2016-01-20,2016-01-19,Venita,Baldwin Bikes
657,2016-01-18,25,4,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes
1280,2016-01-18,26,4,2016-01-21,2016-01-19,Venita,Baldwin Bikes
57,2016-01-19,27,4,2016-01-21,2016-01-20,Venita,Baldwin Bikes
252,2016-01-19,28,4,2016-01-20,2016-01-21,Marcelene,Baldwin Bikes
437,2016-01-20,29,4,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes
1348,2016-01-20,30,4,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes
1238,2016-01-20,31,4,2016-01-22,2016-01-22,Kali,Rowlett Bikes
1259,2016-01-21,32,4,2016-01-24,2016-01-22,Genna,Santa Cruz Bikes
236,2016-01-21,33,4,2016-01-22,2016-01-22,Marcelene,Baldwin Bikes
80,2016-01-22,34,4,2016-01-25,2016-01-23,Marcelene,Baldwin Bikes
813,2016-01-22,35,4,2016-01-25,2016-01-24,Venita,Baldwin Bikes
1321,2016-01-23,36,4,2016-01-24,2016-01-24,Marcelene,Baldwin Bikes
164,2016-01-25,37,4,2016-01-28,2016-01-26,Marcelene,Baldwin Bikes
583,2016-01-25,38,4,2016-01-27,2016-01-26,Venita,Baldwin Bikes
1296,2016-01-25,39,4,2016-01-26,2016-01-26,Venita,Baldwin Bikes
348,2016-01-27,40,4,2016-01-28,2016-01-29,Genna,Santa Cruz Bikes
979,2016-01-27,41,4,2016-01-30,2016-01-29,Marcelene,Baldwin Bikes
1095,2016-01-27,42,4,2016-01-28,2016-01-30,Venita,Baldwin Bikes
1434,2016-01-27,43,4,2016-01-28,2016-01-30,Venita,Baldwin Bikes
861,2016-01-28,44,4,2016-01-31,2016-01-30,Venita,Baldwin Bikes
1220,2016-01-28,45,4,2016-01-31,2016-01-31,Venita,Baldwin Bikes
746,2016-01-29,46,4,2016-01-31,2016-01-31,Venita,Baldwin Bikes
1234,2016-01-29,47,4,2016-01-30,2016-01-31,Venita,Baldwin Bikes
1012,2016-01-30,48,4,2016-02-01,2016-02-02,Venita,Baldwin Bikes
608,2016-01-31,49,4,2016-02-01,2016-02-02,Marcelene,Baldwin Bikes
872,2016-01-31,50,4,2016-02-03,2016-02-02,Kali,Rowlett Bikes
1047,2016-02-01,51,4,2016-02-02,2016-02-03,Venita,Baldwin Bikes
767,2016-02-03,52,4,2016-02-04,2016-02-05,Mireya,Santa Cruz Bikes
965,2016-02-03,53,4,2016-02-04,2016-02-05,Marcelene,Baldwin Bikes
535,2016-02-04,54,4,2016-02-07,2016-02-07,Venita,Baldwin Bikes
1173,2016-02-04,55,4,2016-02-07,2016-02-06,Marcelene,Baldwin Bikes
1241,2016-02-04,56,4,2016-02-06,2016-02-07,Marcelene,Baldwin Bikes
1305,2016-02-04,57,4,2016-02-06,2016-02-06,Venita,Baldwin Bikes
504,2016-02-05,58,4,2016-02-07,2016-02-07,Marcelene,Baldwin Bikes
563,2016-02-05,59,4,2016-02-07,2016-02-06,Venita,Baldwin Bikes
151,2016-02-06,60,4,2016-02-08,2016-02-07,Genna,Santa Cruz Bikes
277,2016-02-06,61,4,2016-02-09,2016-02-09,Venita,Baldwin Bikes
208,2016-02-07,62,4,2016-02-10,2016-02-10,Mireya,Santa Cruz Bikes
1075,2016-02-07,63,4,2016-02-09,2016-02-09,Venita,Baldwin Bikes
1185,2016-02-07,64,4,2016-02-08,2016-02-09,Marcelene,Baldwin Bikes
996,2016-02-08,65,4,2016-02-09,2016-02-11,Marcelene,Baldwin Bikes
1253,2016-02-09,66,4,2016-02-12,2016-02-12,Venita,Baldwin Bikes
526,2016-02-09,67,4,2016-02-11,2016-02-10,Kali,Rowlett Bikes
381,2016-02-10,68,4,2016-02-11,2016-02-13,Marcelene,Baldwin Bikes
1413,2016-02-10,69,4,2016-02-12,2016-02-11,Venita,Baldwin Bikes
50,2016-02-11,70,3,2016-02-11,,Layla,Rowlett Bikes
797,2016-02-11,71,4,2016-02-14,2016-02-12,Venita,Baldwin Bikes
1386,2016-02-12,72,4,2016-02-15,2016-02-13,Mireya,Santa Cruz Bikes
612,2016-02-12,73,4,2016-02-15,2016-02-14,Venita,Baldwin Bikes
264,2016-02-13,74,4,2016-02-15,2016-02-15,Venita,Baldwin Bikes
587,2016-02-14,75,4,2016-02-15,2016-02-17,Marcelene,Baldwin Bikes
9,2016-02-16,76,3,2016-02-16,,Marcelene,Baldwin Bikes
385,2016-02-16,77,4,2016-02-19,2016-02-19,Mireya,Santa Cruz Bikes
1182,2016-02-16,78,4,2016-02-18,2016-02-19,Venita,Baldwin Bikes
529,2016-02-17,79,4,2016-02-20,2016-02-20,Genna,Santa Cruz Bikes
397,2016-02-17,80,4,2016-02-20,2016-02-19,Marcelene,Baldwin Bikes
521,2016-02-17,81,4,2016-02-19,2016-02-18,Marcelene,Baldwin Bikes
1223,2016-02-18,82,4,2016-02-21,2016-02-20,Marcelene,Baldwin Bikes
393,2016-02-19,83,4,2016-02-20,2016-02-20,Genna,Santa Cruz Bikes
317,2016-02-20,84,4,2016-02-22,2016-02-21,Venita,Baldwin Bikes
1174,2016-02-20,85,4,2016-02-23,2016-02-21,Venita,Baldwin Bikes
276,2016-02-21,86,4,2016-02-22,2016-02-23,Venita,Baldwin Bikes
516,2016-02-21,87,4,2016-02-22,2016-02-23,Marcelene,Baldwin Bikes
1069,2016-02-21,88,4,2016-02-22,2016-02-23,Marcelene,Baldwin Bikes
668,2016-02-21,89,4,2016-02-24,2016-02-24,Kali,Rowlett Bikes
414,2016-02-23,90,4,2016-02-25,2016-02-24,Venita,Baldwin Bikes
648,2016-02-25,91,4,2016-02-27,2016-02-28,Mireya,Santa Cruz Bikes
1309,2016-02-25,92,4,2016-02-28,2016-02-28,Venita,Baldwin Bikes
1328,2016-02-26,93,4,2016-02-28,2016-02-27,Genna,Santa Cruz Bikes
929,2016-02-27,94,4,2016-02-28,2016-02-29,Mireya,Santa Cruz Bikes
218,2016-02-27,95,4,2016-02-29,2016-02-28,Venita,Baldwin Bikes
1094,2016-02-27,96,4,2016-02-29,2016-02-28,Venita,Baldwin Bikes
204,2016-02-28,97,4,2016-02-29,2016-03-01,Venita,Baldwin Bikes
1194,2016-02-28,98,4,2016-02-29,2016-02-29,Marcelene,Baldwin Bikes
1165,2016-02-29,99,4,2016-03-01,2016-03-03,Layla,Rowlett Bikes
1237,2016-03-01,100,4,2016-03-04,2016-03-03,Venita,Baldwin Bikes
271,2016-03-01,101,4,2016-03-04,2016-03-04,Kali,Rowlett Bikes
336,2016-03-02,102,4,2016-03-05,2016-03-03,Venita,Baldwin Bikes
991,2016-03-03,103,4,2016-03-06,2016-03-05,Mireya,Santa Cruz Bikes
7,2016-03-03,104,4,2016-03-05,2016-03-05,Venita,Baldwin Bikes
306,2016-03-03,105,4,2016-03-05,2016-03-04,Venita,Baldwin Bikes
422,2016-03-04,106,4,2016-03-05,2016-03-05,Layla,Rowlett Bikes
633,2016-03-06,107,4,2016-03-09,2016-03-09,Mireya,Santa Cruz Bikes
12,2016-03-06,108,4,2016-03-09,2016-03-07,Marcelene,Baldwin Bikes
1255,2016-03-06,109,4,2016-03-09,2016-03-09,Marcelene,Baldwin Bikes
677,2016-03-06,110,4,2016-03-08,2016-03-09,Layla,Rowlett Bikes
630,2016-03-07,111,4,2016-03-10,2016-03-10,Marcelene,Baldwin Bikes
469,2016-03-08,112,4,2016-03-11,2016-03-10,Marcelene,Baldwin Bikes
1078,2016-03-08,113,4,2016-03-11,2016-03-11,Marcelene,Baldwin Bikes
1431,2016-03-08,114,4,2016-03-10,2016-03-11,Venita,Baldwin Bikes
1369,2016-03-09,115,4,2016-03-11,2016-03-11,Venita,Baldwin Bikes
471,2016-03-10,116,4,2016-03-11,2016-03-11,Venita,Baldwin Bikes
740,2016-03-10,117,4,2016-03-13,2016-03-11,Marcelene,Baldwin Bikes
577,2016-03-12,118,4,2016-03-14,2016-03-13,Mireya,Santa Cruz Bikes
925,2016-03-12,119,4,2016-03-14,2016-03-14,Venita,Baldwin Bikes
327,2016-03-14,120,4,2016-03-15,2016-03-17,Venita,Baldwin Bikes
755,2016-03-14,121,4,2016-03-15,2016-03-16,Marcelene,Baldwin Bikes
786,2016-03-14,122,4,2016-03-16,2016-03-15,Marcelene,Baldwin Bikes
766,2016-03-15,123,4,2016-03-18,2016-03-17,Marcelene,Baldwin Bikes
403,2016-03-16,124,4,2016-03-18,2016-03-17,Genna,Santa Cruz Bikes
685,2016-03-16,125,4,2016-03-19,2016-03-17,Marcelene,Baldwin Bikes
1365,2016-03-16,126,4,2016-03-18,2016-03-18,Venita,Baldwin Bikes
484,2016-03-17,127,4,2016-03-18,2016-03-19,Kali,Rowlett Bikes
86,2016-03-18,128,4,2016-03-20,2016-03-21,Marcelene,Baldwin Bikes
84,2016-03-19,129,4,2016-03-21,2016-03-21,Venita,Baldwin Bikes
1049,2016-03-19,130,4,2016-03-22,2016-03-20,Marcelene,Baldwin Bikes
316,2016-03-19,131,4,2016-03-22,2016-03-20,Kali,Rowlett Bikes
46,2016-03-20,132,4,2016-03-22,2016-03-23,Genna,Santa Cruz Bikes
409,2016-03-20,133,4,2016-03-22,2016-03-21,Venita,Baldwin Bikes
679,2016-03-20,134,4,2016-03-21,2016-03-21,Venita,Baldwin Bikes
1354,2016-03-21,135,4,2016-03-23,2016-03-23,Venita,Baldwin Bikes
1192,2016-03-21,136,4,2016-03-24,2016-03-23,Kali,Rowlett Bikes
370,2016-03-23,137,4,2016-03-26,2016-03-25,Venita,Baldwin Bikes
438,2016-03-23,138,4,2016-03-24,2016-03-25,Venita,Baldwin Bikes
710,2016-03-23,139,4,2016-03-24,2016-03-26,Venita,Baldwin Bikes
1264,2016-03-23,140,4,2016-03-26,2016-03-26,Venita,Baldwin Bikes
557,2016-03-25,141,4,2016-03-27,2016-03-26,Venita,Baldwin Bikes
170,2016-03-26,142,4,2016-03-27,2016-03-27,Genna,Santa Cruz Bikes
693,2016-03-26,143,4,2016-03-28,2016-03-28,Venita,Baldwin Bikes
1124,2016-03-26,144,4,2016-03-29,2016-03-29,Venita,Baldwin Bikes
366,2016-03-27,145,4,2016-03-29,2016-03-30,Marcelene,Baldwin Bikes
288,2016-03-28,146,4,2016-03-30,2016-03-30,Genna,Santa Cruz Bikes
55,2016-03-28,147,4,2016-03-31,2016-03-31,Venita,Baldwin Bikes
714,2016-03-28,148,4,2016-03-30,2016-03-30,Marcelene,Baldwin Bikes
763,2016-03-28,149,4,2016-03-30,2016-03-29,Marcelene,Baldwin Bikes
332,2016-03-29,150,4,2016-03-31,2016-04-01,Mireya,Santa Cruz Bikes
926,2016-03-29,151,4,2016-04-01,2016-03-31,Mireya,Santa Cruz Bikes
76,2016-03-29,152,4,2016-03-30,2016-03-30,Marcelene,Baldwin Bikes
498,2016-03-30,153,4,2016-04-02,2016-04-01,Marcelene,Baldwin Bikes
1286,2016-03-31,154,4,2016-04-01,2016-04-01,Mireya,Santa Cruz Bikes
371,2016-04-02,155,4,2016-04-03,2016-04-04,Marcelene,Baldwin Bikes
357,2016-04-03,156,4,2016-04-06,2016-04-05,Genna,Santa Cruz Bikes
43,2016-04-03,157,4,2016-04-06,2016-04-06,Kali,Rowlett Bikes
117,2016-04-04,158,3,2016-04-04,,Layla,Rowlett Bikes
32,2016-04-04,159,4,2016-04-06,2016-04-06,Mireya,Santa Cruz Bikes
205,2016-04-04,160,4,2016-04-06,2016-04-06,Venita,Baldwin Bikes
251,2016-04-04,161,4,2016-04-07,2016-04-05,Venita,Baldwin Bikes
31,2016-04-06,162,4,2016-04-08,2016-04-07,Genna,Santa Cruz Bikes
1325,2016-04-06,163,4,2016-04-07,2016-04-07,Venita,Baldwin Bikes
610,2016-04-07,164,4,2016-04-08,2016-04-09,Venita,Baldwin Bikes
574,2016-04-08,165,4,2016-04-10,2016-04-10,Genna,Santa Cruz Bikes
338,2016-04-08,166,4,2016-04-11,2016-04-11,Marcelene,Baldwin Bikes
1034,2016-04-08,167,4,2016-04-09,2016-04-11,Venita,Baldwin Bikes
1147,2016-04-09,168,4,2016-04-12,2016-04-11,Genna,Santa Cruz Bikes
99,2016-04-10,169,4,2016-04-11,2016-04-11,Venita,Baldwin Bikes
1200,2016-04-10,170,4,2016-04-11,2016-04-13,Venita,Baldwin Bikes
237,2016-04-11,171,4,2016-04-14,2016-04-14,Genna,Santa Cruz Bikes
1079,2016-04-11,172,4,2016-04-12,2016-04-14,Venita,Baldwin Bikes
117,2016-04-11,173,4,2016-04-14,2016-04-13,Kali,Rowlett Bikes
1361,2016-04-12,174,4,2016-04-13,2016-04-15,Venita,Baldwin Bikes
951,2016-04-13,175,4,2016-04-14,2016-04-14,Marcelene,Baldwin Bikes
643,2016-04-15,176,4,2016-04-16,2016-04-17,Venita,Baldwin Bikes
121,2016-04-16,177,4,2016-04-19,2016-04-19,Mireya,Santa Cruz Bikes
756,2016-04-16,178,4,2016-04-17,2016-04-18,Marcelene,Baldwin Bikes
616,2016-04-17,179,4,2016-04-19,2016-04-19,Marcelene,Baldwin Bikes
918,2016-04-17,180,4,2016-04-20,2016-04-19,Venita,Baldwin Bikes
459,2016-04-18,181,4,2016-04-20,2016-04-20,Genna,Santa Cruz Bikes
854,2016-04-18,182,4,2016-04-19,2016-04-20,Marcelene,Baldwin Bikes
22,2016-04-19,183,4,2016-04-20,2016-04-20,Venita,Baldwin Bikes
134,2016-04-19,184,4,2016-04-21,2016-04-22,Venita,Baldwin Bikes
24,2016-04-20,185,3,2016-04-20,,Mireya,Santa Cruz Bikes
1127,2016-04-21,186,4,2016-04-22,2016-04-24,Marcelene,Baldwin Bikes
183,2016-04-22,187,4,2016-04-23,2016-04-24,Marcelene,Baldwin Bikes
390,2016-04-22,188,4,2016-04-23,2016-04-25,Marcelene,Baldwin Bikes
1288,2016-04-23,189,4,2016-04-24,2016-04-26,Mireya,Santa Cruz Bikes
98,2016-04-23,190,4,2016-04-25,2016-04-25,Marcelene,Baldwin Bikes
919,2016-04-27,191,4,2016-04-28,2016-04-28,Mireya,Santa Cruz Bikes
728,2016-04-27,192,4,2016-04-28,2016-04-29,Venita,Baldwin Bikes
1366,2016-04-28,193,4,2016-04-30,2016-04-30,Genna,Santa Cruz Bikes
558,2016-04-28,194,4,2016-04-30,2016-05-01,Venita,Baldwin Bikes
727,2016-04-28,195,4,2016-05-01,2016-05-01,Venita,Baldwin Bikes
1247,2016-04-28,196,4,2016-04-30,2016-05-01,Marcelene,Baldwin Bikes
127,2016-04-30,197,4,2016-05-03,2016-05-03,Venita,Baldwin Bikes
640,2016-05-01,198,4,2016-05-04,2016-05-03,Marcelene,Baldwin Bikes
760,2016-05-01,199,4,2016-05-04,2016-05-04,Venita,Baldwin Bikes
1074,2016-05-01,200,4,2016-05-03,2016-05-03,Marcelene,Baldwin Bikes
280,2016-05-01,201,4,2016-05-04,2016-05-02,Layla,Rowlett Bikes
600,2016-05-03,202,4,2016-05-05,2016-05-04,Mireya,Santa Cruz Bikes
1102,2016-05-03,203,4,2016-05-05,2016-05-06,Layla,Rowlett Bikes
591,2016-05-04,204,4,2016-05-07,2016-05-06,Venita,Baldwin Bikes
635,2016-05-04,205,4,2016-05-05,2016-05-06,Marcelene,Baldwin Bikes
743,2016-05-04,206,4,2016-05-06,2016-05-05,Layla,Rowlett Bikes
105,2016-05-05,207,4,2016-05-07,2016-05-07,Venita,Baldwin Bikes
815,2016-05-06,208,4,2016-05-07,2016-05-09,Venita,Baldwin Bikes
514,2016-05-07,209,4,2016-05-08,2016-05-08,Marcelene,Baldwin Bikes
943,2016-05-07,210,4,2016-05-08,2016-05-09,Marcelene,Baldwin Bikes
1140,2016-05-07,211,4,2016-05-09,2016-05-08,Marcelene,Baldwin Bikes
1373,2016-05-08,212,4,2016-05-09,2016-05-11,Marcelene,Baldwin Bikes
788,2016-05-08,213,4,2016-05-09,2016-05-09,Kali,Rowlett Bikes
363,2016-05-10,214,4,2016-05-12,2016-05-11,Marcelene,Baldwin Bikes
1420,2016-05-10,215,4,2016-05-13,2016-05-12,Venita,Baldwin Bikes
267,2016-05-11,216,4,2016-05-14,2016-05-13,Genna,Santa Cruz Bikes
716,2016-05-11,217,4,2016-05-12,2016-05-14,Venita,Baldwin Bikes
1179,2016-05-12,218,4,2016-05-14,2016-05-14,Venita,Baldwin Bikes
1338,2016-05-12,219,4,2016-05-15,2016-05-15,Marcelene,Baldwin Bikes
1358,2016-05-12,220,4,2016-05-14,2016-05-15,Marcelene,Baldwin Bikes
1218,2016-05-13,221,4,2016-05-16,2016-05-14,Mireya,Santa Cruz Bikes
51,2016-05-13,222,4,2016-05-16,2016-05-14,Marcelene,Baldwin Bikes
1368,2016-05-15,223,4,2016-05-16,2016-05-17,Venita,Baldwin Bikes
157,2016-05-17,224,4,2016-05-18,2016-05-19,Genna,Santa Cruz Bikes
307,2016-05-17,225,4,2016-05-20,2016-05-19,Genna,Santa Cruz Bikes
501,2016-05-17,226,4,2016-05-19,2016-05-20,Mireya,Santa Cruz Bikes
489,2016-05-17,227,4,2016-05-18,2016-05-20,Venita,Baldwin Bikes
615,2016-05-17,228,4,2016-05-20,2016-05-20,Venita,Baldwin Bikes
742,2016-05-19,229,4,2016-05-21,2016-05-20,Marcelene,Baldwin Bikes
1167,2016-05-19,230,4,2016-05-20,2016-05-21,Marcelene,Baldwin Bikes
1257,2016-05-19,231,4,2016-05-22,2016-05-21,Marcelene,Baldwin Bikes
1360,2016-05-20,232,4,2016-05-23,2016-05-23,Genna,Santa Cruz Bikes
737,2016-05-21,233,4,2016-05-22,2016-05-24,Marcelene,Baldwin Bikes
1435,2016-05-22,234,4,2016-05-24,2016-05-24,Marcelene,Baldwin Bikes
649,2016-05-24,235,4,2016-05-25,2016-05-25,Marcelene,Baldwin Bikes
206,2016-05-25,236,4,2016-05-27,2016-05-26,Marcelene,Baldwin Bikes
1351,2016-05-25,237,4,2016-05-26,2016-05-27,Venita,Baldwin Bikes
1350,2016-05-26,238,4,2016-05-29,2016-05-29,Marcelene,Baldwin Bikes
13,2016-05-27,239,3,2016-05-27,,Layla,Rowlett Bikes
65,2016-05-27,240,4,2016-05-29,2016-05-30,Marcelene,Baldwin Bikes
1082,2016-05-27,241,4,2016-05-29,2016-05-29,Venita,Baldwin Bikes
1168,2016-05-27,242,4,2016-05-30,2016-05-30,Venita,Baldwin Bikes
802,2016-05-27,243,4,2016-05-30,2016-05-28,Kali,Rowlett Bikes
956,2016-05-28,244,4,2016-05-29,2016-05-29,Marcelene,Baldwin Bikes
223,2016-05-29,245,4,2016-05-31,2016-05-30,Venita,Baldwin Bikes
17,2016-05-30,246,3,2016-05-30,,Marcelene,Baldwin Bikes
928,2016-05-30,247,4,2016-06-01,2016-06-01,Genna,Santa Cruz Bikes
1376,2016-05-30,248,4,2016-06-01,2016-05-31,Venita,Baldwin Bikes
145,2016-06-01,249,4,2016-06-04,2016-06-04,Marcelene,Baldwin Bikes
150,2016-06-01,250,4,2016-06-02,2016-06-04,Venita,Baldwin Bikes
851,2016-06-01,251,4,2016-06-04,2016-06-04,Venita,Baldwin Bikes
